project_id,project_type,terrain_type,terrain_difficulty_score,permit_complexity,permit_delay_months,material_availability,vendor_rating,skilled_manpower_ratio,demand_pressure,start_month,weather_severity_index,planned_cost_lakhs,actual_cost_lakhs,planned_duration_months,actual_duration_months
PG_00019,underground_cable,forest,5,high,3.0,low,3.7,64,high,8,3.73,121,211.97,22,33.6
PG_00020,overhead_line,coastal,3,medium,1.5,low,4.9,94,high,2,2.28,92,138.23,28,34.4
PG_00021,overhead_line,urban,2,low,0.5,high,4.9,81,medium,2,1.74,102,110.47,29,34.6
PG_00022,overhead_line,urban,2,high,3.0,high,2.8,84,low,7,4.93,147,166.3,30,39.6
PG_00023,overhead_line,urban,2,medium,1.5,low,4.5,59,medium,11,1.43,141,185.39,28,35.4
PG_00024,overhead_line,plain,1,medium,1.5,medium,4.0,61,high,11,1.08,132,167.85,25,31.1
PG_00025,overhead_line,coastal,3,medium,1.5,high,3.6,94,medium,1,2.34,129,148.62,25,31.1
PG_00026,overhead_line,coastal,3,low,0.5,high,3.9,57,medium,9,4.07,86,103.95,18,24.4
PG_00027,overhead_line,coastal,3,medium,1.5,low,2.9,72,medium,9,4.28,118,175.83,30,40.2
PG_00028,overhead_line,hilly,4,medium,1.5,high,3.5,68,low,1,1.08,80,90.24,19,25.6
PG_00029,overhead_line,forest,5,medium,1.5,high,4.0,57,low,3,2.4,147,169.87,22,30.9
PG_00030,substation,coastal,3,low,0.5,high,4.4,58,medium,10,2.1,133,151.04,19,24.5
PG_00031,underground_cable,hilly,4,high,3.0,medium,4.7,58,medium,6,3.66,204,268.74,35,51.7
PG_00032,underground_cable,urban,2,medium,1.5,low,4.1,74,medium,12,1.18,216,287.27,36,44.0
PG_00033,substation,hilly,4,medium,1.5,medium,4.2,67,high,1,2.03,82,114.48,23,31.1
PG_00034,substation,plain,1,medium,1.5,low,3.2,78,low,11,1.58,172,213.2,21,25.1
PG_00035,overhead_line,coastal,3,medium,1.5,low,3.8,78,high,1,2.19,107,168.22,26,33.4
PG_00036,underground_cable,hilly,4,medium,1.5,high,2.9,77,high,2,1.33,163,220.53,42,54.2
PG_00037,underground_cable,coastal,3,medium,1.5,low,3.5,76,medium,12,1.36,228,313.99,28,35.1
PG_00038,underground_cable,coastal,3,high,3.0,low,4.8,79,medium,1,2.27,127,172.61,24,32.2
PG_00039,substation,hilly,4,medium,1.5,medium,2.6,84,medium,2,1.5,106,137.44,19,25.4
PG_00040,substation,hilly,4,low,0.5,low,3.8,73,high,6,4.76,171,288.47,25,33.7
PG_00041,overhead_line,coastal,3,medium,1.5,medium,4.2,58,medium,4,2.64,138,169.05,27,36.2
PG_00042,underground_cable,urban,2,high,3.0,low,3.6,83,low,12,1.06,195,251.92,33,41.8
PG_00043,substation,coastal,3,low,0.5,high,4.0,55,high,4,3.11,95,125.88,19,25.3
PG_00044,overhead_line,forest,5,high,3.0,medium,3.8,64,low,3,1.2,132,160.98,22,32.0
PG_00045,substation,forest,5,low,0.5,low,3.2,61,low,3,1.12,137,193.31,23,30.8
PG_00046,substation,plain,1,high,3.0,high,2.6,77,low,9,4.19,92,101.36,15,20.9
PG_00047,substation,hilly,4,high,3.0,high,2.5,60,medium,11,1.37,123,150.38,17,25.0
PG_00048,substation,urban,2,low,0.5,high,4.9,59,high,9,4.5,106,134.44,16,20.8
PG_00049,substation,forest,5,low,0.5,low,2.5,83,high,5,2.51,127,224.8,15,20.5
PG_00050,overhead_line,plain,1,low,0.5,low,4.1,63,high,1,2.08,116,166.96,23,27.3
PG_00051,substation,coastal,3,low,0.5,high,2.8,55,low,5,2.75,110,127.96,24,32.0
PG_00052,underground_cable,hilly,4,medium,1.5,high,3.5,89,low,4,2.73,158,185.77,35,46.3
PG_00053,overhead_line,coastal,3,high,3.0,medium,4.4,70,medium,12,1.67,130,153.64,29,38.5
PG_00054,overhead_line,coastal,3,medium,1.5,low,4.4,59,medium,4,3.11,104,147.69,21,28.8
PG_00055,overhead_line,hilly,4,high,3.0,low,4.1,83,medium,3,1.73,109,156.99,19,26.9
PG_00056,overhead_line,urban,2,medium,1.5,medium,4.8,75,medium,8,3.57,71,84.66,33,42.3
PG_00057,underground_cable,urban,2,low,0.5,high,4.1,60,high,10,1.33,227,278.76,34,41.5
PG_00058,overhead_line,hilly,4,low,0.5,high,4.4,78,high,3,1.34,92,120.36,25,31.9
PG_00059,underground_cable,coastal,3,medium,1.5,high,3.6,78,medium,9,4.07,136,165.76,21,28.5
PG_00060,substation,plain,1,high,3.0,low,4.9,90,high,3,1.41,92,129.77,24,29.7
PG_00061,underground_cable,urban,2,high,3.0,medium,3.3,72,high,6,4.78,241,339.84,39,52.3
PG_00062,substation,hilly,4,low,0.5,low,4.6,90,high,12,1.32,107,168.77,20,25.2
PG_00063,underground_cable,forest,5,low,0.5,low,4.6,68,low,6,4.73,142,205.1,42,58.2
PG_00064,substation,coastal,3,high,3.0,high,4.4,63,medium,11,2.12,119,134.66,25,34.2
PG_00065,overhead_line,hilly,4,low,0.5,low,4.1,66,high,3,1.06,145,232.33,19,24.9
PG_00066,overhead_line,urban,2,medium,1.5,low,4.5,95,low,4,2.85,144,187.92,25,31.2
PG_00067,substation,forest,5,medium,1.5,medium,3.8,57,low,5,3.46,147,187.12,25,36.2
PG_00068,substation,urban,2,high,3.0,medium,4.2,60,medium,9,4.56,150,182.62,25,34.8
PG_00069,substation,hilly,4,high,3.0,high,3.9,86,low,6,4.16,86,102.03,26,37.0
PG_00070,substation,coastal,3,low,0.5,low,3.2,68,low,8,4.99,133,191.99,25,33.8
PG_00071,overhead_line,urban,2,high,3.0,medium,3.9,62,high,4,2.75,146,198.11,20,28.1
PG_00072,underground_cable,coastal,3,high,3.0,medium,2.5,75,high,5,3.24,147,211.49,41,54.6
PG_00073,substation,coastal,3,high,3.0,medium,2.6,60,low,4,3.5,104,125.8,20,28.6
PG_00074,underground_cable,coastal,3,medium,1.5,medium,3.6,56,high,11,2.43,134,182.75,36,47.0
PG_00075,overhead_line,hilly,4,high,3.0,high,3.8,85,high,4,2.83,66,90.95,25,35.2
PG_00076,underground_cable,urban,2,low,0.5,low,4.8,90,medium,12,1.46,217,279.67,25,28.9
PG_00077,underground_cable,plain,1,high,3.0,medium,3.6,58,low,6,3.68,162,189.19,28,38.6
PG_00078,underground_cable,hilly,4,low,0.5,medium,2.7,66,high,5,2.83,154,227.9,25,33.5
PG_00079,underground_cable,urban,2,low,0.5,medium,4.5,64,low,1,1.76,200,215.47,23,27.9
PG_00080,overhead_line,coastal,3,high,3.0,low,3.6,55,medium,3,1.97,140,198.7,33,45.3
PG_00081,overhead_line,plain,1,high,3.0,low,3.0,70,low,4,2.93,79,101.86,30,38.4
PG_00082,substation,plain,1,medium,1.5,high,3.6,75,low,8,4.28,143,155.98,22,28.3
PG_00083,underground_cable,coastal,3,low,0.5,low,3.2,64,high,8,3.97,213,362.67,23,31.3
PG_00084,overhead_line,urban,2,low,0.5,medium,2.6,83,low,8,4.44,126,151.64,22,27.5
PG_00085,underground_cable,plain,1,high,3.0,low,4.9,83,high,1,2.1,222,307.14,25,30.6
PG_00086,overhead_line,coastal,3,high,3.0,high,4.1,65,medium,10,1.2,124,140.49,23,31.4
PG_00087,substation,urban,2,medium,1.5,high,4.6,74,medium,7,3.63,144,165.71,18,24.0
PG_00088,substation,plain,1,medium,1.5,medium,3.6,63,medium,12,1.48,80,89.07,15,18.7
PG_00089,overhead_line,forest,5,high,3.0,low,4.2,82,high,2,1.13,97,161.92,34,47.5
PG_00090,substation,hilly,4,high,3.0,low,3.6,86,high,11,1.95,159,261.43,14,20.7
PG_00091,underground_cable,forest,5,medium,1.5,medium,2.8,91,high,3,1.51,176,259.9,25,33.3
PG_00092,overhead_line,plain,1,low,0.5,medium,2.9,87,low,2,2.0,144,157.24,35,39.4
PG_00093,underground_cable,urban,2,low,0.5,low,2.8,78,high,5,2.5,213,341.74,39,48.2
PG_00094,overhead_line,coastal,3,medium,1.5,high,3.9,66,high,3,1.44,89,114.56,29,37.6
PG_00095,underground_cable,forest,5,low,0.5,medium,3.1,87,medium,7,4.86,225,313.78,26,36.0
PG_00096,overhead_line,plain,1,high,3.0,high,4.5,89,low,7,4.27,134,141.54,34,43.0
PG_00097,overhead_line,urban,2,low,0.5,low,3.7,59,medium,6,4.47,119,172.87,31,41.0
PG_00098,underground_cable,coastal,3,medium,1.5,medium,3.5,79,medium,9,4.95,156,198.63,36,47.2
PG_00099,substation,plain,1,low,0.5,medium,2.6,88,high,2,1.29,157,203.3,20,22.7
PG_00100,overhead_line,hilly,4,medium,1.5,low,3.0,67,high,6,4.55,121,211.83,36,50.6
PG_00101,underground_cable,forest,5,high,3.0,low,3.4,57,low,9,3.65,160,239.71,29,43.9
PG_00102,substation,urban,2,medium,1.5,medium,3.3,64,medium,10,1.19,143,166.47,15,19.3
PG_00103,overhead_line,hilly,4,low,0.5,medium,3.1,57,high,1,2.49,134,192.09,35,46.3
PG_00104,overhead_line,coastal,3,medium,1.5,high,4.9,62,medium,7,3.88,145,169.39,26,35.4
PG_00105,underground_cable,forest,5,high,3.0,high,3.3,75,low,9,4.42,125,153.9,28,41.2
PG_00106,substation,urban,2,low,0.5,low,4.1,94,medium,3,1.06,125,164.28,22,25.3
PG_00107,substation,hilly,4,medium,1.5,low,3.5,77,high,8,4.34,142,245.34,17,24.3
PG_00108,overhead_line,plain,1,low,0.5,high,4.2,63,high,6,4.51,93,116.32,21,26.2
PG_00109,substation,plain,1,high,3.0,low,4.9,87,high,10,1.89,110,154.46,14,18.6
PG_00110,underground_cable,forest,5,low,0.5,high,2.5,62,medium,8,4.32,228,299.18,36,50.3
PG_00111,overhead_line,coastal,3,medium,1.5,high,2.5,61,high,2,2.36,130,172.43,36,46.5
PG_00112,underground_cable,coastal,3,medium,1.5,medium,3.5,82,medium,9,4.7,124,161.89,39,52.1
PG_00113,overhead_line,coastal,3,low,0.5,medium,5.0,82,medium,3,2.01,66,77.49,36,44.1
PG_00114,overhead_line,plain,1,high,3.0,low,4.8,78,low,11,2.34,120,145.88,27,34.1
PG_00115,underground_cable,urban,2,medium,1.5,medium,3.5,91,medium,12,1.42,213,247.51,42,49.2
PG_00116,substation,forest,5,low,0.5,high,4.9,68,medium,4,2.79,168,204.34,21,28.7
PG_00117,overhead_line,hilly,4,low,0.5,medium,2.5,90,high,10,1.08,120,170.36,18,22.3
PG_00118,substation,forest,5,high,3.0,medium,3.6,79,medium,6,4.94,131,179.26,25,37.2
PG_00119,overhead_line,hilly,4,high,3.0,high,3.9,61,medium,1,1.53,106,125.81,19,27.6
PG_00120,underground_cable,coastal,3,medium,1.5,medium,3.5,74,high,2,2.38,231,315.33,37,46.9
PG_00121,overhead_line,plain,1,high,3.0,medium,3.7,64,medium,3,2.45,131,150.44,28,36.1
PG_00122,substation,coastal,3,low,0.5,medium,4.3,87,high,7,3.88,156,225.09,24,31.5
PG_00123,substation,forest,5,high,3.0,low,3.6,73,medium,5,3.27,178,274.28,14,21.9
PG_00124,underground_cable,plain,1,medium,1.5,low,3.3,66,medium,12,2.03,192,250.47,39,46.4
PG_00125,underground_cable,coastal,3,low,0.5,low,4.0,95,high,6,3.69,161,268.18,42,54.0
PG_00126,substation,hilly,4,medium,1.5,low,4.5,68,high,2,1.3,104,165.58,23,31.1
PG_00127,underground_cable,urban,2,high,3.0,high,3.5,62,medium,6,4.78,143,168.96,29,40.0
PG_00128,underground_cable,forest,5,medium,1.5,low,3.3,79,low,3,2.27,245,347.48,40,53.1
PG_00129,substation,coastal,3,medium,1.5,low,4.5,60,medium,1,2.03,165,226.63,22,29.2
PG_00130,substation,hilly,4,low,0.5,medium,4.8,56,low,2,1.43,115,131.15,20,26.1
PG_00131,substation,forest,5,medium,1.5,medium,4.8,64,medium,6,3.65,102,137.52,16,24.1
PG_00132,overhead_line,hilly,4,low,0.5,medium,2.7,79,high,11,1.93,100,141.83,32,40.2
PG_00133,overhead_line,urban,2,high,3.0,medium,4.5,64,medium,3,1.2,67,75.51,33,42.1
PG_00134,overhead_line,forest,5,high,3.0,high,3.5,66,medium,4,3.17,140,178.74,19,29.0
PG_00135,underground_cable,urban,2,high,3.0,low,4.7,74,medium,12,1.46,140,182.19,22,28.8
PG_00136,substation,coastal,3,medium,1.5,high,2.9,91,low,11,1.72,129,143.74,16,20.5
PG_00137,overhead_line,plain,1,high,3.0,high,4.0,74,low,11,1.9,124,126.77,24,30.7
PG_00138,substation,hilly,4,medium,1.5,low,4.0,62,medium,10,1.02,136,193.62,23,31.0
PG_00139,substation,hilly,4,low,0.5,medium,3.7,72,low,8,4.6,89,112.1,14,19.3
PG_00140,substation,plain,1,low,0.5,medium,4.4,88,medium,2,2.1,147,166.47,25,29.0
PG_00141,substation,coastal,3,medium,1.5,low,3.2,58,high,11,2.35,96,149.83,22,28.8
PG_00142,substation,coastal,3,high,3.0,high,3.3,66,medium,4,3.25,144,173.75,21,30.0
PG_00143,substation,coastal,3,medium,1.5,high,3.9,59,medium,10,1.38,156,178.13,17,22.8
PG_00144,underground_cable,coastal,3,high,3.0,low,2.9,88,medium,3,1.46,249,358.2,28,36.9
PG_00145,underground_cable,plain,1,low,0.5,medium,4.4,80,medium,7,4.37,146,174.78,39,48.0
PG_00146,substation,urban,2,low,0.5,high,4.2,72,high,12,1.01,107,132.28,20,24.4
PG_00147,substation,coastal,3,low,0.5,low,3.5,95,medium,6,4.25,157,229.58,14,17.8
PG_00148,substation,hilly,4,medium,1.5,high,3.2,57,medium,11,2.06,88,104.72,25,33.6
PG_00149,overhead_line,coastal,3,high,3.0,medium,2.6,85,high,8,4.53,139,205.55,33,45.2
PG_00150,underground_cable,hilly,4,high,3.0,high,3.1,71,high,12,2.38,249,337.34,20,28.5
PG_00151,underground_cable,plain,1,medium,1.5,low,4.4,55,low,7,3.56,127,166.22,33,43.4
PG_00152,underground_cable,forest,5,medium,1.5,low,3.2,68,medium,10,2.17,246,373.49,22,30.8
PG_00153,underground_cable,plain,1,low,0.5,high,4.9,55,high,12,2.36,133,156.34,30,36.3
PG_00154,overhead_line,coastal,3,low,0.5,high,2.9,83,low,7,3.82,73,85.24,27,34.6
PG_00155,underground_cable,hilly,4,low,0.5,medium,4.1,79,medium,12,2.42,149,187.56,24,31.1
PG_00156,overhead_line,plain,1,high,3.0,medium,3.3,83,low,8,3.59,96,112.07,19,26.0
PG_00157,underground_cable,forest,5,low,0.5,high,4.9,74,low,7,3.66,241,287.15,26,36.1
PG_00158,underground_cable,plain,1,low,0.5,medium,2.9,62,medium,10,1.94,121,141.97,35,42.0
PG_00159,overhead_line,hilly,4,medium,1.5,high,3.2,83,high,2,2.13,91,124.06,18,24.2
PG_00160,underground_cable,hilly,4,high,3.0,medium,3.6,87,high,3,1.69,235,334.44,32,43.1
PG_00161,overhead_line,urban,2,low,0.5,low,4.5,87,medium,6,4.62,101,142.23,28,35.1
PG_00162,overhead_line,coastal,3,low,0.5,medium,3.4,90,low,8,4.67,128,159.28,21,27.4
PG_00163,substation,hilly,4,high,3.0,medium,4.5,82,low,7,4.44,152,185.54,21,30.4
PG_00164,substation,forest,5,low,0.5,medium,2.7,77,low,1,2.0,115,142.95,28,36.5
PG_00165,substation,urban,2,medium,1.5,high,3.7,82,low,9,4.34,168,187.35,19,24.9
PG_00166,substation,urban,2,medium,1.5,medium,3.9,91,high,3,2.41,160,208.59,16,19.9
PG_00167,substation,plain,1,high,3.0,low,4.7,79,medium,9,4.89,171,234.26,25,33.6
PG_00168,overhead_line,urban,2,high,3.0,high,4.7,94,high,11,1.27,83,99.28,33,40.2
PG_00169,substation,plain,1,medium,1.5,high,4.4,76,medium,9,4.65,107,122.57,28,36.1
PG_00170,underground_cable,plain,1,medium,1.5,low,3.9,84,high,6,3.95,187,287.31,20,25.3
PG_00171,underground_cable,plain,1,high,3.0,medium,3.9,90,high,4,2.69,222,289.89,38,46.8
PG_00172,substation,plain,1,low,0.5,high,4.7,89,medium,6,4.99,158,176.93,22,26.7
PG_00173,underground_cable,urban,2,high,3.0,medium,4.1,71,low,6,4.37,190,219.28,31,41.6
PG_00174,overhead_line,coastal,3,low,0.5,low,4.9,69,high,3,1.94,142,212.62,34,42.0
PG_00175,substation,hilly,4,high,3.0,medium,3.3,87,medium,6,4.21,98,132.45,18,26.9
PG_00176,overhead_line,plain,1,high,3.0,medium,2.5,67,low,6,3.75,66,77.14,36,47.0
PG_00177,underground_cable,urban,2,low,0.5,low,3.4,73,medium,8,3.94,220,318.11,22,28.3
PG_00178,underground_cable,hilly,4,low,0.5,low,2.6,67,medium,5,3.11,230,351.63,31,41.5
PG_00179,overhead_line,hilly,4,high,3.0,low,3.3,90,low,3,2.26,126,172.4,19,26.2
PG_00180,underground_cable,hilly,4,high,3.0,low,4.0,95,high,12,2.43,198,313.64,30,39.3
PG_00181,underground_cable,forest,5,medium,1.5,medium,4.3,72,low,4,2.64,219,275.22,28,39.5
PG_00182,underground_cable,plain,1,medium,1.5,low,4.8,85,medium,4,3.09,190,249.65,41,49.3
PG_00183,substation,hilly,4,high,3.0,medium,3.8,64,high,7,4.17,131,191.2,28,40.5
PG_00184,substation,forest,5,medium,1.5,medium,3.7,64,high,4,3.15,149,222.27,17,24.7
PG_00185,overhead_line,coastal,3,medium,1.5,high,3.9,79,high,10,2.04,135,175.29,35,44.5
PG_00186,overhead_line,forest,5,medium,1.5,high,3.2,89,medium,12,1.91,144,175.67,34,44.1
PG_00187,substation,plain,1,low,0.5,medium,3.9,76,low,6,4.63,173,199.48,14,17.7
PG_00188,substation,plain,1,low,0.5,high,3.8,61,low,7,3.82,115,123.67,26,32.6
PG_00189,overhead_line,plain,1,high,3.0,medium,4.9,82,medium,6,3.79,147,171.76,24,31.8
PG_00190,substation,forest,5,high,3.0,low,3.0,94,low,2,1.83,177,256.98,25,35.0
PG_00191,overhead_line,hilly,4,low,0.5,low,3.3,68,medium,1,1.29,92,131.58,35,44.5
PG_00192,overhead_line,plain,1,low,0.5,medium,2.6,82,medium,1,1.3,118,140.03,28,32.7
PG_00193,overhead_line,urban,2,low,0.5,high,3.1,95,high,9,4.73,102,138.09,23,28.7
PG_00194,substation,urban,2,low,0.5,low,3.1,79,medium,5,2.92,108,152.03,18,22.3
PG_00195,substation,forest,5,low,0.5,medium,3.9,68,high,11,1.27,177,252.83,24,31.9
PG_00196,substation,hilly,4,high,3.0,low,4.6,58,high,1,1.86,174,272.41,26,36.5
PG_00197,underground_cable,coastal,3,medium,1.5,medium,3.1,75,high,11,2.22,160,217.23,34,42.5
PG_00198,overhead_line,plain,1,high,3.0,low,3.8,82,high,6,4.59,130,200.35,20,26.9
PG_00199,overhead_line,plain,1,medium,1.5,medium,3.4,92,high,1,2.18,132,168.92,33,38.1
PG_00200,substation,plain,1,high,3.0,medium,4.1,77,low,12,1.42,103,109.82,24,30.4
PG_00201,overhead_line,forest,5,low,0.5,medium,3.9,56,high,1,1.28,141,199.93,36,48.1
PG_00202,underground_cable,coastal,3,high,3.0,medium,3.2,58,medium,3,1.17,189,229.11,26,35.3
PG_00203,overhead_line,urban,2,medium,1.5,high,4.1,66,high,10,1.05,110,134.32,30,37.2
PG_00204,overhead_line,urban,2,medium,1.5,medium,3.2,94,low,10,2.43,82,93.7,36,43.3
PG_00205,substation,urban,2,low,0.5,medium,3.6,71,medium,12,2.2,178,206.83,17,20.5
PG_00206,underground_cable,hilly,4,medium,1.5,low,2.5,94,low,10,1.05,190,269.69,40,50.9
PG_00207,overhead_line,plain,1,medium,1.5,medium,2.9,88,medium,9,4.49,82,101.79,27,34.0
PG_00208,overhead_line,forest,5,low,0.5,low,3.4,61,medium,7,4.72,83,132.17,34,48.6
PG_00209,overhead_line,hilly,4,low,0.5,medium,2.6,59,medium,4,2.74,148,195.66,35,47.1
PG_00210,substation,urban,2,low,0.5,low,4.4,71,medium,9,3.55,172,245.11,21,27.4
PG_00211,overhead_line,hilly,4,low,0.5,medium,4.2,82,high,4,2.81,134,191.29,30,39.1
PG_00212,substation,hilly,4,high,3.0,high,3.2,80,high,6,4.88,180,259.53,21,31.2
PG_00213,substation,hilly,4,low,0.5,medium,3.5,79,high,8,3.94,131,197.83,28,38.2
PG_00214,overhead_line,plain,1,low,0.5,high,4.9,67,low,1,2.35,149,147.45,33,38.8
PG_00215,substation,plain,1,high,3.0,low,4.5,64,low,11,1.44,81,98.57,25,32.3
PG_00216,substation,coastal,3,low,0.5,high,2.7,82,medium,4,3.17,154,186.79,14,17.9
PG_00217,overhead_line,coastal,3,low,0.5,medium,3.8,88,medium,2,1.04,102,121.96,36,43.1
PG_00218,substation,forest,5,medium,1.5,low,2.5,81,high,9,3.93,173,317.35,14,20.9
PG_00219,underground_cable,urban,2,low,0.5,high,3.0,80,high,7,3.7,215,294.95,21,27.2
PG_00220,underground_cable,hilly,4,high,3.0,low,3.2,94,medium,8,3.91,143,222.02,22,31.8
PG_00221,underground_cable,plain,1,medium,1.5,high,3.1,63,high,1,2.38,231,286.87,20,25.2
PG_00222,overhead_line,hilly,4,medium,1.5,high,3.7,91,high,4,3.16,129,177.33,19,25.6
PG_00223,underground_cable,hilly,4,high,3.0,high,4.3,57,medium,12,1.13,161,189.69,24,34.3
PG_00224,substation,coastal,3,low,0.5,high,3.3,70,medium,8,4.15,111,134.91,27,35.3
PG_00225,underground_cable,plain,1,low,0.5,medium,3.8,67,low,3,2.05,231,244.15,26,30.2
PG_00226,overhead_line,hilly,4,medium,1.5,medium,3.1,80,high,3,2.0,147,209.23,25,32.8
PG_00227,overhead_line,plain,1,low,0.5,low,4.3,91,low,11,1.1,139,165.93,27,29.9
PG_00228,underground_cable,urban,2,high,3.0,medium,4.3,71,medium,6,4.54,182,227.18,33,45.4
PG_00229,overhead_line,plain,1,medium,1.5,low,2.8,68,medium,4,2.61,95,129.5,18,22.8
PG_00230,substation,hilly,4,low,0.5,medium,3.0,84,low,10,1.6,117,142.33,27,34.3
PG_00231,underground_cable,hilly,4,low,0.5,low,4.8,84,high,12,1.72,209,325.37,40,49.9
PG_00232,overhead_line,urban,2,low,0.5,high,3.1,93,medium,7,4.43,111,134.14,27,33.7
PG_00233,overhead_line,coastal,3,medium,1.5,high,4.5,72,medium,7,4.87,72,87.08,18,25.2
PG_00234,underground_cable,urban,2,high,3.0,low,4.3,66,medium,4,3.0,193,266.89,31,41.7
PG_00235,overhead_line,hilly,4,high,3.0,low,4.1,62,low,5,3.11,91,127.04,30,42.8
PG_00236,substation,urban,2,medium,1.5,low,2.6,64,low,1,2.49,156,204.51,21,26.7
PG_00237,underground_cable,hilly,4,low,0.5,high,3.5,78,low,1,1.01,211,240.0,23,29.5
PG_00238,overhead_line,urban,2,medium,1.5,low,3.0,68,high,5,2.94,137,219.32,18,23.9
PG_00239,overhead_line,hilly,4,high,3.0,low,3.1,75,low,4,3.09,135,194.7,31,43.7
PG_00240,underground_cable,urban,2,medium,1.5,low,3.2,56,low,9,3.71,212,290.44,27,36.3
PG_00241,substation,hilly,4,high,3.0,medium,4.2,75,medium,11,1.89,81,101.49,20,28.6
PG_00242,overhead_line,urban,2,medium,1.5,low,5.0,76,medium,1,1.99,136,174.05,29,35.2
PG_00243,underground_cable,coastal,3,high,3.0,high,4.2,89,high,10,2.28,138,177.71,38,48.9
PG_00244,underground_cable,hilly,4,low,0.5,medium,3.2,88,low,3,1.52,160,191.92,21,26.4
PG_00245,overhead_line,urban,2,high,3.0,medium,4.5,72,low,1,1.05,106,117.38,33,42.8
PG_00246,overhead_line,urban,2,low,0.5,low,4.1,81,high,9,4.73,142,226.8,27,34.3
PG_00247,overhead_line,plain,1,low,0.5,medium,3.7,71,low,10,1.04,91,96.45,27,31.1
PG_00248,underground_cable,hilly,4,medium,1.5,medium,3.5,70,low,6,4.23,243,307.86,20,28.5
PG_00249,underground_cable,coastal,3,high,3.0,high,3.0,59,medium,2,1.09,131,151.49,35,46.4
PG_00250,underground_cable,forest,5,medium,1.5,low,4.3,82,medium,8,3.84,146,223.32,30,41.9
PG_00251,overhead_line,coastal,3,medium,1.5,low,3.5,70,medium,9,4.85,131,197.81,29,40.0
PG_00252,overhead_line,forest,5,high,3.0,low,3.8,85,low,8,3.74,66,98.6,18,27.5
PG_00253,underground_cable,urban,2,medium,1.5,low,4.6,90,high,9,4.71,234,374.22,33,42.7
PG_00254,underground_cable,coastal,3,low,0.5,medium,3.7,91,medium,2,1.68,164,201.28,30,36.7
PG_00255,overhead_line,plain,1,high,3.0,low,3.4,80,low,12,1.05,77,94.7,32,38.8
PG_00256,underground_cable,urban,2,medium,1.5,medium,4.1,74,high,11,1.13,134,172.87,39,47.4
PG_00257,substation,forest,5,medium,1.5,high,2.5,86,medium,5,3.48,158,203.85,26,35.6
PG_00258,overhead_line,forest,5,high,3.0,high,3.9,95,high,7,3.61,139,203.27,33,47.6
PG_00259,substation,urban,2,medium,1.5,high,4.1,74,high,6,3.98,141,185.47,20,26.7
PG_00260,substation,urban,2,high,3.0,high,4.7,94,high,12,1.74,158,191.36,17,22.4
PG_00261,substation,coastal,3,medium,1.5,medium,3.3,78,high,11,1.58,148,200.32,18,23.1
PG_00262,overhead_line,hilly,4,high,3.0,medium,2.8,77,high,4,2.89,131,191.36,35,47.9
PG_00263,overhead_line,urban,2,high,3.0,high,3.6,70,high,4,3.31,90,115.98,21,28.8
PG_00264,underground_cable,urban,2,medium,1.5,high,2.6,70,low,2,2.28,201,216.41,31,38.1
PG_00265,overhead_line,forest,5,high,3.0,medium,4.5,70,medium,2,1.52,119,148.3,35,48.2
PG_00266,substation,urban,2,medium,1.5,medium,3.9,57,high,6,3.69,142,198.55,22,30.1
